date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2000-12-21,23.4259249676,23.1446680081,30.1657069989,18.8407893846,13.2116622411,344.48
2000-12-22,25.3158809481,25.9503598561,34.0656044778,18.7327377703,14.1240698545,327.52
2000-12-26,24.5694277457,25.5870548181,35.0990773097,18.6986162078,14.2578896378,335.04
2000-12-27,24.3709029578,27.4402158102,36.376293734,18.5166345416,14.1240698545,379.04
2000-12-28,24.6647196439,27.2875666345,35.0405788475,17.5953523562,13.5522944168,352.96
2000-12-29,23.076521341,25.0924714891,34.6115901248,17.094902774,13.1934140889,333.52
2001-01-02,20.9483356151,21.6395471365,34.4945932005,17.663595481,13.1934140889,314.0
2001-01-03,25.4111728462,25.6633794059,40.948923528,19.4663513624,14.5802736611,428.96
2001-01-04,25.855868371,24.1002518475,38.3944906793,19.2218134983,14.7323415967,383.04
2001-01-05,23.926207433,22.3050975422,35.5865644946,18.2322881881,14.9421953478,336.96
2001-01-08,23.7753285943,23.7766355952,36.0155532172,18.1640450632,14.8844095323,362.0
2001-01-09,25.0141232705,22.3631042289,35.830308087,18.3403398024,15.7572794823,349.52
2001-01-10,26.0067472098,22.1158125644,37.0490260491,18.7668593327,16.0827048644,373.52
2001-01-11,26.4514427346,21.5418516641,39.9739491583,18.9829625614,16.7274729112,395.04
2001-01-12,25.6573435832,21.9234746031,40.4029378809,18.2720966776,16.2712691045,401.52
2001-01-16,25.2602940075,21.6578650375,37.9655019567,17.8455771473,15.9853813857,384.96
2001-01-17,26.4037967855,22.2867796411,38.2677440113,17.3451275651,16.1009530167,430.0
2001-01-18,26.8484923103,22.3050975422,43.3278609901,18.30621824,16.8795408468,482.48
2001-01-19,27.4440666739,21.4868979608,45.2778097295,19.0853272486,18.5522881379,486.48
2001-01-22,25.2602940075,23.0317076181,43.3863594523,18.9829625614,18.28768993,478.0
2001-01-23,24.9982412875,23.7003110074,42.1676414901,20.1203479755,18.4184683546,511.04
2001-01-24,23.8706204924,22.6684025802,43.7568497128,20.6151106306,19.1423117278,504.48
2001-01-25,23.7753285943,22.5737600913,42.655128675,19.6198983933,18.7986381935,441.52
2001-01-26,24.1247322209,24.7291664511,42.8403738052,20.404694329,19.4646957512,476.96
2001-01-29,24.17237817,26.5029498718,44.166338948,21.0757517233,19.6167636868,458.48
2001-01-30,24.0691452803,26.1610157184,45.6775492211,21.0416301609,19.2761315111,476.0
2001-01-31,23.1321082816,25.6633794059,44.6245769018,21.0416301609,18.5705362901,438.48
2001-02-01,23.8706204924,26.0266844439,41.1244189145,21.5022712536,18.97199564,446.48
