n,total,annualized,max_dd,mean_month,turnover_month,spy_total,by_year,2020,2022,rotation,floor,cap,step,cost_bps,block,overlay,mean_theme_turnover,mean_exposure
71,0.942175959024065,0.11872882811664764,-0.1764165419674636,0.01040943684929966,,1.0328464184664052,"{'2014': 0.19443346114361182, '2015': 0.03835303757531605, '2016': 0.06874158448708934, '2017': 0.17733146919748632, '2018': -0.12331512536176015, '2019': 0.4196019936635784}",,,price_plus_capex,0.15,0.5,0.1,50,2014_2019,False,0.032838821504247856,
36,0.6749005049134313,0.18758035398812312,-0.4543388936659857,0.021825722603882665,,0.24705270054961392,"{'2020': 1.2426795504588504, '2021': 0.2237624429559002, '2022': -0.3897262781273587}",1.2426795504588504,-0.3897262781273587,price_plus_capex,0.15,0.5,0.1,50,2020_2022,False,0.02178240469445851,
43,3.565972863974122,0.5277623810153471,-0.19364022110003265,0.0426301438937217,,1.0430458054963405,"{'2023': 0.8923690059041898, '2024': 0.7191835450020456, '2025': 0.19966111313971902, '2026': 0.1698944281623238}",,,price_plus_capex,0.15,0.5,0.1,50,2023_2026,False,0.014958430464119677,
71,0.9192523584566092,0.11648607229428642,-0.1777071501150045,0.010239298224049778,,1.0328464184664052,"{'2014': 0.19388852918617516, '2015': 0.03631574558125239, '2016': 0.0660482719604416, '2017': 0.1767207717317365, '2018': -0.12530899877424073, '2019': 0.41374557231546727}",,,price_plus_capex,0.15,0.5,0.1,100,2014_2019,False,0.032838821504247856,
36,0.6685895107231761,0.18608688300559173,-0.45481305057468113,0.02171682018239786,,0.24705270054961392,"{'2020': 1.2389996043852265, '2021': 0.22260502887086098, '2022': -0.39045002963894226}",1.2389996043852265,-0.39045002963894226,price_plus_capex,0.15,0.5,0.1,100,2020_2022,False,0.02178240469445851,
43,3.551855396652175,0.5264426765510062,-0.19372262907974203,0.04255630200997378,,1.0430458054963405,"{'2023': 0.88870736249209, '2024': 0.7190767211914937, '2025': 0.19871542713770518, '2026': 0.16953286301155313}",,,price_plus_capex,0.15,0.5,0.1,100,2023_2026,False,0.014958430464119677,
71,0.9492160743987674,0.11941318996287675,-0.17512439982530947,0.010458991200409959,,1.0328464184664052,"{'2014': 0.19497845601437058, '2015': 0.040393556056235846, '2016': 0.07157570909817723, '2017': 0.17794220968473518, '2018': -0.1235718420339117, '2019': 0.41722592513278545}",,,price_plus_capex,0.15,0.5,0.15,0,2014_2019,False,0.035319691424582536,
36,0.6812333433377509,0.1890752279859984,-0.4538643582538323,0.02193463376007711,,0.24705270054961392,"{'2020': 1.2463641434615176, '2021': 0.22492042899819364, '2022': -0.3890017609543548}",1.2463641434615176,-0.3890017609543548,price_plus_capex,0.15,0.5,0.15,0,2020_2022,False,0.021800587876659866,
43,3.6062048283326096,0.5315072091132584,-0.19355781066903865,0.042832135364417386,,1.0430458054963405,"{'2023': 0.8960363241925406, '2024': 0.7192903744736818, '2025': 0.20744253685312497, '2026': 0.1702560356139733}",,,price_plus_capex,0.15,0.5,0.15,0,2023_2026,False,0.014958430464119677,
71,0.9368654166049026,0.11821123084548724,-0.1757706627235972,0.010367719712984181,,1.0328464184664052,"{'2014': 0.19470595071453123, '2015': 0.03937289326193305, '2016': 0.070225354072329, '2017': 0.1776368340633092, '2018': -0.1246480722561939, '2019': 0.41383172528874024}",,,price_plus_capex,0.15,0.5,0.15,25,2014_2019,False,0.035319691424582536,
