gamma,min_child_weight,max_depth,n_estimators,auc_train,auc_val,ap_train,ap_val,train_s,a_n,a_avg_pnl_pct,a_hit_pct,a_sharpe,a_recall_pct,b_n,b_avg_pnl_pct,b_hit_pct,b_sharpe,b_recall_pct,c_n,c_avg_pnl_pct,c_hit_pct,c_sharpe,c_recall_pct
5,100,3,200,0.6921018961867029,0.6471155398613564,0.23282304697659711,0.20662127589819687,0.24748516082763672,238,1.0061665146233332,55.46218487394958,0.9693797121128355,15.919282511210762,117,1.7853241667257054,58.97435897435898,1.6648557641754018,10.986547085201794,32,1.4166979991095598,53.125,1.1007015490699923,3.3632286995515694
3,100,2,200,0.6904726376069181,0.6476161830804728,0.2345253986653461,0.20636922969372404,0.5489187240600586,233,0.881252494799655,54.506437768240346,0.838033637956542,15.022421524663676,112,1.7598555944111522,57.14285714285714,1.6167963438627833,10.538116591928251,32,1.6262126537973436,53.125,1.2612174300980674,2.914798206278027
5,100,3,500,0.701177707244774,0.6469609198814602,0.24175220904822808,0.20496137380913043,0.6204283237457275,265,0.9602482514014669,56.60377358490566,0.9479703292231372,17.26457399103139,129,1.756133169286489,59.68992248062015,1.6786394644125953,12.10762331838565,46,1.2089595378381854,52.17391304347826,1.0652343875235322,4.708520179372197
10,100,3,300,0.6723804245508578,0.638446078967516,0.2145378671488569,0.20019762476227868,0.32703375816345215,151,1.2630831142869958,56.29139072847682,1.241387349669732,10.538116591928251,77,1.750886824230156,57.14285714285714,1.6445382646428026,7.847533632286996,18,0.33024641097883967,50.0,0.302045681275304,1.7937219730941705
5,50,3,300,0.7141837098051285,0.6416953771555653,0.25364124268400434,0.20582272992546025,0.3519282341003418,222,1.4563956552128707,55.85585585585585,1.3272913742444328,14.573991031390134,98,1.7157789779928698,55.10204081632652,1.5506710357262878,9.192825112107624,42,1.928006036848335,54.761904761904766,1.6649978312137994,4.708520179372197
3,50,4,200,0.7529098606174852,0.6437653317916907,0.2958511316930825,0.20510697641297482,0.5452454090118408,270,1.2131854728411586,55.925925925925924,1.1772087445726878,17.48878923766816,127,1.6990955090966047,56.69291338582677,1.7010841611132412,11.210762331838566,50,1.6913781748576304,52.0,1.5000984627558096,4.932735426008969
3,100,2,500,0.7146746386060098,0.6464488836111935,0.25728887297116065,0.20360505451980254,0.7221634387969971,282,1.1523490255266353,56.02836879432624,1.0974190477234127,17.040358744394617,135,1.6957122768334494,58.51851851851851,1.6284371412464602,11.659192825112108,51,1.7055764263118975,54.90196078431373,1.4226396362060558,4.708520179372197
20,20,3,500,0.6671433550935957,0.6384340348848716,0.2155016544614198,0.2042739991610522,0.5218565464019775,93,1.596431153048094,58.06451612903226,1.4851299507152977,7.623318385650224,46,1.6701536803013193,54.347826086956516,1.4352220331047212,5.15695067264574,7,1.4189355885304027,57.14285714285714,1.2778950116910348,0.8968609865470852
5,50,3,200,0.7095626983437313,0.6413845096170373,0.2489482652006228,0.20802194214964978,0.24666047096252441,211,1.5624772529886504,55.92417061611374,1.3999445559246935,14.573991031390134,96,1.6488282412544335,54.166666666666664,1.4821148221400013,9.192825112107624,38,1.502007899545294,52.63157894736842,1.267394573070124,4.260089686098654
5,100,2,200,0.680999835669321,0.6472984797112544,0.22337633663772524,0.20711782437157794,0.2694845199584961,203,0.6057134431555361,52.70935960591133,0.5668906870144763,13.901345291479823,96,1.6136053122269567,57.291666666666664,1.4276310937747727,9.641255605381167,25,2.22441518764288,60.0,1.6117763655782928,2.690582959641256
3,50,2,200,0.7003873361487201,0.6482620063228178,0.2445802730397013,0.21003237388346493,0.22862625122070312,229,1.2087781444527392,54.58515283842795,1.097997489737547,15.022421524663676,107,1.5939280395352775,54.20560747663551,1.4347181240487297,9.865470852017937,38,1.6963490056506638,55.26315789473685,1.4205320127211853,4.260089686098654
10,20,3,200,0.6887995959455714,0.6394223006932184,0.23625809415195645,0.20607555660536858,0.26477527618408203,162,1.5897875954697267,58.0246913580247,1.4781085355692134,12.331838565022421,77,1.5932924976582248,53.246753246753244,1.534806565004256,7.847533632286996,20,0.9654826238977449,55.00000000000001,0.8911422679627511,2.0179372197309418
